id,scrape_id,last_scraped,host_id,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
42121357,2.02008E+13,21/8/20,149052750,f,7,7,"Doncaster Heights, Victoria, Australia",Manningham,-37.77272,145.15335,Private room,2,1,1,$128.00 ,7,300,91,1,1,0,29/3/20,29/3/20,100,10,10,10,10,10,10,t,7,0.21
42121440,2.02008E+13,20/8/20,90729398,f,129,129,"Carlton, Victoria, Australia",Melbourne,-37.79713,144.97278,Private room,1,1,1,$46.00 ,4,365,91,0,0,0,,,,,,,,,,t,120,
42122295,2.02008E+13,21/8/20,60007091,f,0,0,"Point Cook, Victoria, Australia",Wyndham,-37.8795,144.74956,Private room,4,2,3,$69.00 ,1,14,181,1,1,0,16/3/20,16/3/20,100,8,8,10,10,8,8,t,1,0.19
42122407,2.02008E+13,21/8/20,334164277,f,0,0,,Maribyrnong,-37.77364,144.88177,Entire home/apt,3,1,1,$120.00 ,3,1125,365,2,2,0,20/3/20,28/3/20,80,9,10,7,6,10,8,f,2,0.39
42123417,2.02008E+13,20/8/20,284837767,f,4,4,"South Yarra, Victoria, Australia",Stonnington,-37.83839,144.99176,Entire home/apt,2,1,1,$169.00 ,1,1125,364,1,1,0,25/3/20,25/3/20,100,10,10,10,10,10,8,f,9,0.2
42123421,2.02008E+13,20/8/20,284837767,f,4,4,"South Yarra, Victoria, Australia",Stonnington,-37.83839,144.99176,Entire home/apt,3,1,1,$189.00 ,1,1125,364,1,1,0,6/6/20,6/6/20,80,8,8,8,8,10,8,f,9,0.39
42123422,2.02008E+13,20/8/20,284837767,f,4,4,"South Yarra, Victoria, Australia",Stonnington,-37.83839,144.99176,Entire home/apt,5,1,1,$219.00 ,1,1125,364,1,1,0,27/6/20,27/6/20,100,10,10,10,10,10,10,f,9,0.55
42123423,2.02008E+13,20/8/20,284837767,f,4,4,"South Yarra, Victoria, Australia",Stonnington,-37.83839,144.99176,Entire home/apt,4,2,3,$229.00 ,1,1125,364,1,1,0,22/3/20,22/3/20,60,2,6,10,10,6,6,f,9,0.2
42123901,2.02008E+13,21/8/20,305223035,f,0,0,"Seaford, Victoria, Australia",Frankston,-38.12868,145.13466,Entire home/apt,6,3,5,$195.00 ,1,15,263,3,3,0,5/3/20,5/4/20,73,7,7,7,7,7,7,t,1,0.53
42124062,2.02008E+13,20/8/20,147466239,f,4,4,,Melbourne,-37.81184,144.96245,Private room,1,,1,$44.00 ,1,1125,0,1,1,0,12/2/20,12/2/20,100,10,8,10,10,10,10,f,3,0.16
42126670,2.02008E+13,21/8/20,334224524,f,0,0,"Richmond, Victoria, Australia",Yarra,-37.82376,145.00556,Private room,2,1,1,$76.00 ,1,14,169,4,4,0,12/3/20,4/4/20,100,10,10,10,10,10,10,t,1,0.74
42129849,2.02008E+13,23/8/20,149052750,f,7,7,,Manningham,-37.77445,145.15126,Entire home/apt,4,2,0,$158.00 ,7,1000,365,1,1,0,28/3/20,28/3/20,100,10,10,10,10,10,10,t,7,0.2
42129947,2.02008E+13,21/8/20,149052750,f,7,7,"Doncaster Heights, Victoria, Australia",Manningham,-37.7746,145.15209,Entire home/apt,2,1,1,$95.00 ,7,365,365,1,1,0,28/2/20,28/2/20,80,6,10,10,6,10,8,f,7,0.17
42130118,2.02008E+13,21/8/20,26936048,t,2,2,"North Melbourne, Victoria, Australia",Melbourne,-37.80033,144.9469,Entire home/apt,2,1,1,$69.00 ,7,1125,90,3,3,2,30/6/20,9/8/20,93,10,9,10,10,9,9,f,1,1.7
42131216,2.02008E+13,23/8/20,255013133,f,3,3,,Manningham,-37.77707,145.11558,Private room,2,1,1,$68.00 ,1,1125,363,0,0,0,,,,,,,,,,f,3,
42136586,2.02008E+13,20/8/20,224616884,f,2,2,,Melbourne,-37.82856,144.96865,Private room,2,1,1,$66.00 ,2,1125,90,1,1,0,17/2/20,17/2/20,100,10,10,10,10,10,10,f,1,0.16
42138945,2.02008E+13,23/8/20,184513340,f,1,1,,Glen Eira,-37.88219,145.00557,Private room,1,,1,$165.00 ,1,1125,180,0,0,0,,,,,,,,,,f,1,
42140081,2.02008E+13,20/8/20,256216953,f,2,2,"Diamond Creek, Victoria, Australia",Nillumbik,-37.66865,145.16166,Private room,1,1,1,$50.00 ,1,1125,0,0,0,0,,,,,,,,,,f,2,
42140802,2.02008E+13,21/8/20,23549482,f,0,0,"Armadale, Victoria, Australia",Stonnington,-37.86016,145.01543,Private room,1,,1,$22.00 ,30,90,80,0,0,0,,,,,,,,,,f,1,
42142114,2.02008E+13,21/8/20,68583245,t,0,0,,Moreland,-37.76369,144.96196,Entire home/apt,3,1,1,$70.00 ,7,90,72,3,3,0,13/3/20,24/6/20,100,10,10,10,10,9,9,f,1,0.56
42142776,2.02008E+13,23/8/20,569413,f,35,35,,Whitehorse,-37.8543,145.1711,Private room,2,1,1,$45.00 ,3,1125,365,1,1,0,29/2/20,29/2/20,20,6,2,8,10,6,2,f,24,0.17
42143247,2.02008E+13,21/8/20,304357347,f,41,41,,Boroondara,-37.81092,145.03861,Entire home/apt,11,5,5,$880.00 ,1,1125,67,1,1,0,29/2/20,29/2/20,100,8,8,8,8,10,10,f,45,0.17
42143799,2.02008E+13,21/8/20,334404074,f,0,0,,Glen Eira,-37.93269,145.0404,Private room,1,1,,$80.00 ,1,1125,180,0,0,0,,,,,,,,,,t,5,
42144356,2.02008E+13,21/8/20,334404074,f,0,0,,Glen Eira,-37.93293,145.03841,Private room,1,1,1,$50.00 ,1,1125,181,3,3,0,25/2/20,29/6/20,87,9,8,9,9,9,9,t,5,0.5
42144395,2.02008E+13,21/8/20,334404074,f,0,0,,Glen Eira,-37.93226,145.03885,Private room,2,1,,$55.00 ,1,1125,181,1,1,0,12/4/20,12/4/20,100,8,8,10,10,10,8,t,5,0.23
42144551,2.02008E+13,22/8/20,334404074,f,0,0,,Glen Eira,-37.93227,145.04034,Private room,2,1,,$60.00 ,1,1125,0,2,2,0,13/3/20,10/4/20,100,10,10,10,10,10,10,t,5,0.37
42144687,2.02008E+13,20/8/20,33353273,f,10,10,"Melbourne, Victoria, Australia",Melbourne,-37.81262,144.95309,Private room,2,,,$85.00 ,1,60,72,0,0,0,,,,,,,,,,t,10,
42144853,2.02008E+13,23/8/20,147466239,f,4,4,,Melbourne,-37.79917,144.95329,Private room,1,1,1,$48.00 ,1,1125,0,0,0,0,,,,,,,,,,f,3,
42146079,2.02008E+13,21/8/20,267683097,f,1,1,,Whittlesea,-37.58902,145.12667,Private room,4,2,2,$60.00 ,1,1125,365,1,1,0,3/3/20,3/3/20,,,,,,,,f,1,0.17
