id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21657631,Entire Bayside Sanctuary,7612210,Michael,,Port Phillip,-37.88196,144.98787,Entire home/apt,115,2,28,2020-03-14,0.85,1,0
21657937,Homely Private Room / Queen Bed / 20min Airport,52442903,Alex & Somi,,Hume,-37.56627,144.72974,Private room,80,2,32,2019-11-30,0.95,2,0
21661608,6 minutes from Station and 14 minuets from airport,157662858,Faisal,,Moreland,-37.7073,144.92246,Private room,59,1,2,2017-11-25,0.06,1,0
21667337,Luxury apartment across Souther Cross Station.,157712967,Apoorva,,Melbourne,-37.81759,144.95451,Private room,50,2,0,,,1,0
21667594,CONVENIENT & MODERN 1 BED APARTMENT DOCKLANDS,246661,Alexandro Dream Homes,,Melbourne,-37.82068,144.95044,Entire home/apt,60,1,41,2020-03-12,1.23,3,161
21667823,Comfortable Family Home in a Quiet Neighbourhood,55988783,Peter,,Wyndham,-37.90898,144.72324,Entire home/apt,89,3,86,2020-04-11,2.58,1,71
21667933,Thornton House - historic building on Nelson Place,11406726,Denise,,Hobsons Bay,-37.86371,144.90402,Entire home/apt,150,2,87,2020-04-22,2.63,1,163
21668326,Cozy room with magnificent view on 31st floor,46510951,James&Mira,,Melbourne,-37.82333,144.96137,Private room,68,2,6,2018-02-27,0.18,3,0
21668463,"Fully renovated house, close to Airport & City!",157723424,Maria,,Moonee Valley,-37.74447,144.8703,Entire home/apt,148,2,101,2020-08-08,3.03,1,362
21668891,Pei's house,123091621,Pei,,Monash,-37.93142,145.18914,Private room,29,3,2,2019-03-27,0.06,1,0
21670125,southbank 超方便,65203743,锟,,Melbourne,-37.83006,144.96891,Entire home/apt,70,7,3,2018-01-22,0.09,1,0
21670440,South Carlton Appartment,75348675,Casey,,Melbourne,-37.80623,144.96373,Entire home/apt,190,1,3,2018-01-01,0.09,1,0
21670531,Cool apartment in the heart of Prahran.,22642094,Colman,,Stonnington,-37.84786,144.99087,Private room,55,1,0,,,1,0
21670637,SPACIOUS home opposite to CROWN/MCEC+ FREE parking,53420795,Annie,,Melbourne,-37.82719,144.95756,Entire home/apt,285,1,89,2020-02-03,2.73,1,0
21671579,Not far from Melbourne City,157745967,Henrik,,Darebin,-37.74455,145.00035,Entire home/apt,116,7,2,2018-07-05,0.06,1,0
21671865,Spacious 2BR Apartment with Secure Parking + Wifi,79551817,Tack,,Melbourne,-37.80098,144.95489,Entire home/apt,143,2,8,2018-01-21,0.24,1,0
21671923,Excellent modern apartment in vibrant South Yarra,8047158,Therese,,Stonnington,-37.83718,144.99375,Entire home/apt,580,5,0,,,1,0
21673138,Lovely Family-Friendly Home Close to City & Beach,157759568,Jacinta And Mitch,,Hobsons Bay,-37.84873,144.86534,Entire home/apt,260,2,9,2019-01-02,0.29,1,0
21676424,Docklands New Quay Stay,917425,Lisa,,Melbourne,-37.81305,144.94264,Entire home/apt,200,2,4,2018-02-06,0.12,25,91
21682672,Beautiful double bedroom with ensuite bathroom,27719757,Pauline J,,Stonnington,-37.83458,144.99072,Private room,50,15,0,,,1,0
21683503,Best View*Brand new2BR*CBD Heart*Pool*Gym*Cent,109573840,Calvin & Ronald,,Melbourne,-37.80925,144.96089,Entire home/apt,204,2,2,2018-03-17,0.07,4,0
21684231,"Tranquil, stunning 1-bed'r in South Yarra.",50344831,Jane,,Stonnington,-37.83541,144.99099,Entire home/apt,120,3,8,2020-02-24,0.25,1,0
21684261,“Seaford  Palms “ Opposite beach and shops,136108595,Jacqui & Danny,,Frankston,-38.11142,145.12766,Entire home/apt,153,7,30,2020-04-03,1.01,1,260
21684282,Harbourfront Large 1BR with Resort Facilities,55324450,Bruce,,Melbourne,-37.81323,144.94508,Entire home/apt,77,1,11,2019-11-25,0.33,71,323
21684756,Garden Studio Apartmt Quality/Position Camberwell,5844309,Rick,,Boroondara,-37.83062,145.07168,Entire home/apt,60,1,36,2020-04-21,1.11,3,169
21685447,RIVER VIEW*2BR2BA+Free Parking&Tram*City Docklands,157867681,Doris,,Melbourne,-37.82138,144.94796,Entire home/apt,221,2,305,2020-03-20,9.10,2,0
21686421,Lovely Toorak one bedroom apartment,1386428,Libby,,Stonnington,-37.84844,145.00961,Entire home/apt,150,5,3,2018-11-05,0.09,1,0
21687623,A Room With A View,6992397,Leanne,,Yarra Ranges,-37.88023,145.51602,Private room,76,2,2,2019-10-18,0.07,3,0
21688390,"near homes glen Tafe ,A beautiful Glen Waverley house",157891846,Ivy,,Monash,-37.8737,145.18243,Private room,50,7,1,2020-04-30,0.26,2,179
21688923,House for large group,157895771,Sau Fung,,Whitehorse,-37.82322,145.12541,Entire home/apt,150,2,13,2019-01-01,0.41,1,0
21690152,Bedroom with single bed at a quiet inner suburb,155348880,Suja,,Melbourne,-37.78415,144.93968,Private room,90,3,0,,,1,0
21699183,Bimbimbie Apartment: luxury suite,37549506,Kate & Chris,,Yarra Ranges,-37.64158,145.4948,Entire home/apt,145,2,86,2020-03-21,2.60,3,2
21699546,Best location in Melbourne - Deluxe Apartment,15118426,Lucy,,Melbourne,-37.81405,144.95492,Entire home/apt,150,2,92,2020-06-08,2.77,1,317
21699673,Artistic family home in Brunswick,40477746,Kylie,,Moreland,-37.75489,144.95422,Entire home/apt,140,3,4,2018-01-14,0.12,2,0
21701061,Stay in a Creative Fitzroy Sanctuary in the Heart of Gertrude Street Village,3588330,Pete,,Yarra,-37.80624,144.98027,Entire home/apt,315,4,51,2020-03-17,1.74,1,354
21701403,Spectacular Vista Stylish Design 2BR2B & Car Bay,55324450,Bruce,,Melbourne,-37.8158,144.95343,Entire home/apt,199,1,27,2020-02-10,0.81,71,237
21701928,Amazing Corner 2BR2B on Upper West Side & Car Bay,55324450,Bruce,,Melbourne,-37.81501,144.95357,Entire home/apt,131,1,44,2020-03-14,1.34,71,354
21702529,The Westgarth Loft,158000604,Rebecca,,Darebin,-37.78286,144.99567,Entire home/apt,120,2,47,2020-03-15,1.46,1,365
21702584,Spacious 1 bed 1 bath Huge Balcony Great Location,55324450,Bruce,,Melbourne,-37.81627,144.95326,Entire home/apt,101,1,35,2020-07-30,1.05,71,364
21703626,New Independent self contained private apartment,4627881,Qiang,,Knox,-37.93658,145.2479,Entire home/apt,85,2,43,2020-03-14,1.28,1,91
21703772,"Milano, Admire Melbourne from a Top Floor Penthouse",4177728,Chris From StayCentral,,Melbourne,-37.80681,144.96176,Entire home/apt,243,3,88,2020-06-22,2.73,27,89
21703962,墨尔本近CBD特大房源,149525298,Qisheng,,Melbourne,-37.80299,144.96346,Private room,50,1,1,2017-12-20,0.03,1,0
21706815,Stargazer - A new cottage walking distance to town,32187116,Becca,,Yarra Ranges,-37.65977,145.51471,Entire home/apt,158,1,126,2020-07-05,4.00,1,287
21713112,Beach House in Melbourne,12332814,Alexandra,,Hobsons Bay,-37.86531,144.88793,Entire home/apt,90,5,3,2018-01-16,0.09,1,0
21714797,Quiet Romantic Getaway for Two,158102392,John,,Port Phillip,-37.88363,144.99118,Entire home/apt,306,2,75,2020-07-08,2.45,1,72
21716869,Regal - modern St Kilda gem in historic building,135117464,Tam,,Port Phillip,-37.85904,144.97845,Entire home/apt,100,2,3,2019-01-10,0.09,21,0
